candidate_id,gender,race_ethnicity,openness,conscientiousness,extraversion,agreeableness,neuroticism,education_level,years_experience,score,round
22,male,Asian,0.415,0.665,0.594,0.756,0.84,high_school,4,0.573,3
58,male,Latine,0.599,0.787,0.385,0.293,0.351,bachelor,5,0.57,3
88,female,White,0.685,0.502,0.666,0.542,0.569,associate,7,0.569,3
92,female,Asian,0.705,0.508,0.574,0.555,0.457,master,0,0.565,3
16,male,White,0.785,0.432,0.539,0.654,0.475,master,8,0.554,3
32,male,Latine,0.562,0.587,0.513,0.533,0.461,high_school,5,0.552,3
52,male,Asian,0.645,0.513,0.559,0.546,0.486,associate,0,0.549,3
55,male,Latine,0.401,0.587,0.571,0.502,0.382,master,8,0.545,3
39,male,White,0.581,0.654,0.383,0.329,0.177,bachelor,12,0.543,3
67,female,Latine,0.637,0.53,0.573,0.461,0.509,master,0,0.543,3
91,male,Latine,0.555,0.426,0.79,0.502,0.694,associate,8,0.536,3
96,female,Latine,0.581,0.796,0.472,0.955,0.466,high_school,11,0.68,4
50,male,White,0.436,0.895,0.583,0.43,0.57,master,10,0.632,4
6,male,Latine,0.515,0.67,0.816,0.413,0.497,associate,0,0.628,4
16,female,White,0.683,0.638,0.728,0.554,0.636,master,0,0.627,4
78,female,Latine,0.85,0.623,0.45,0.687,0.603,bachelor,2,0.601,4
38,male,White,0.568,0.685,0.467,0.649,0.396,master,1,0.599,4
34,female,Asian,0.423,0.544,0.859,0.341,0.215,associate,3,0.598,4
67,male,White,0.582,0.427,0.783,0.5,0.165,associate,13,0.591,4
77,female,Latine,0.708,0.596,0.744,0.491,0.859,bachelor,4,0.589,4
46,female,White,0.234,0.653,0.674,0.657,0.43,bachelor,1,0.588,4
100,male,Latine,0.66,0.603,0.646,0.506,0.617,high_school,1,0.586,4
49,female,Latine,0.227,0.763,0.624,0.615,0.645,master,13,0.585,4
51,female,Latine,0.575,0.66,0.558,0.514,0.502,master,3,0.584,4
41,female,Latine,0.678,0.532,0.474,0.56,0.071,high_school,1,0.583,4
57,nonbinary,White,0.874,0.363,0.647,0.646,0.351,bachelor,9,0.582,4
61,male,Black,0.595,0.382,0.959,0.337,0.311,high_school,9,0.582,4
97,female,Latine,0.625,0.483,0.767,0.536,0.541,master,4,0.581,4
27,male,White,0.824,0.57,0.607,0.259,0.377,high_school,13,0.576,4
40,male,White,0.643,0.574,0.522,0.559,0.371,master,13,0.575,4
87,female,White,0.538,0.565,0.812,0.373,0.629,high_school,6,0.575,4
6,female,White,0.835,0.65,0.714,0.513,0.251,bachelor,9,0.683,5
54,female,Latine,0.709,0.645,0.863,0.292,0.719,bachelor,7,0.62,5
37,female,Latine,0.574,0.81,0.704,0.216,0.713,bachelor,7,0.607,5
55,female,Black,0.72,0.618,0.494,0.597,0.385,high_school,9,0.599,5
53,female,White,0.702,0.77,0.567,0.444,0.874,master,14,0.596,5
50,male,Latine,0.574,0.628,0.609,0.618,0.554,master,3,0.595,5
82,male,White,0.455,0.644,0.685,0.49,0.468,bachelor,13,0.592,5
75,female,Latine,0.49,0.675,0.639,0.567,0.639,master,5,0.591,5
88,male,Multiracial,0.75,0.547,0.584,0.503,0.346,high_school,15,0.591,5
63,male,White,0.521,0.573,0.579,0.585,0.21,associate,5,0.59,5
95,male,Black,0.6,0.502,0.633,0.619,0.287,associate,9,0.588,5
41,female,Asian,0.651,0.662,0.465,0.589,0.463,associate,4,0.588,5
39,male,White,0.425,0.633,0.646,0.697,0.631,bachelor,8,0.588,5
31,male,White,0.517,0.642,0.52,0.684,0.501,bachelor,12,0.585,5
42,male,Asian,0.524,0.747,0.473,0.567,0.582,master,12,0.585,5
58,male,Asian,0.595,0.609,0.679,0.402,0.481,master,13,0.584,5
96,female,Black,0.613,0.553,0.665,0.559,0.531,associate,5,0.583,5
32,male,White,0.922,0.556,0.557,0.579,0.782,high_school,9,0.581,5
19,female,Black,0.525,0.617,0.637,0.543,0.588,high_school,11,0.577,5
76,male,Black,0.563,0.582,0.664,0.36,0.364,high_school,7,0.572,5
5,female,Latine,0.541,0.836,0.714,0.454,0.452,high_school,5,0.675,6
89,female,Multiracial,0.696,0.619,0.778,0.382,0.116,master,14,0.661,6
29,female,Asian,0.818,0.65,0.623,0.586,0.35,master,3,0.659,6
16,female,White,0.434,0.613,0.841,0.509,0.385,associate,7,0.628,6
62,male,White,0.561,0.588,0.87,0.407,0.46,bachelor,11,0.623,6
90,male,White,0.541,0.698,0.557,0.62,0.359,master,0,0.622,6
33,male,Latine,0.581,0.991,0.321,0.397,0.563,bachelor,13,0.617,6
46,female,Black,0.434,0.657,0.571,0.585,0.234,high_school,3,0.602,6
95,male,White,0.412,0.745,0.63,0.446,0.543,high_school,4,0.593,6
77,male,Asian,0.485,0.746,0.547,0.566,0.657,master,0,0.59,6
9,female,White,0.391,0.524,0.83,0.497,0.396,master,7,0.585,6
82,female,Latine,0.515,0.799,0.437,0.4,0.417,bachelor,12,0.584,6
54,male,Asian,0.74,0.527,0.692,0.339,0.362,high_school,15,0.583,6
6,male,White,0.554,0.538,0.603,0.758,0.526,associate,4,0.583,6
12,female,Latine,0.63,0.607,0.588,0.485,0.537,associate,8,0.573,6
93,male,Latine,0.662,0.501,0.619,0.427,0.228,high_school,0,0.571,6
2,female,Latine,0.612,0.616,0.549,0.462,0.446,associate,10,0.569,6
34,female,White,0.636,0.674,0.606,0.356,0.711,associate,13,0.565,6
32,male,White,0.48,0.482,0.707,0.681,0.572,master,12,0.562,6
31,male,Multiracial,0.461,0.501,0.633,0.668,0.448,associate,5,0.558,6
69,male,Multiracial,0.648,0.679,0.727,0.771,0.52,associate,13,0.68,7
52,female,White,0.652,0.835,0.609,0.486,0.435,bachelor,5,0.672,7
1,male,Latine,0.545,0.741,0.681,0.555,0.352,master,5,0.659,7
92,male,White,0.621,0.619,0.786,0.394,0.352,master,3,0.63,7
25,female,White,0.227,0.668,0.81,0.512,0.181,master,8,0.629,7
42,female,Black,0.285,0.805,0.546,0.572,0.299,master,7,0.617,7
24,female,Asian,0.783,0.708,0.553,0.496,0.627,associate,8,0.615,7
77,female,White,0.417,0.772,0.501,0.767,0.613,master,3,0.612,7
85,female,White,0.651,0.843,0.274,0.547,0.337,associate,2,0.61,7
79,male,White,0.4,0.557,0.729,0.672,0.312,associate,1,0.607,7
45,female,Latine,0.502,0.619,0.747,0.588,0.62,master,11,0.605,7
43,female,Black,0.661,0.847,0.358,0.347,0.368,associate,4,0.6,7
50,male,Asian,0.507,0.703,0.599,0.369,0.403,associate,6,0.587,7
4,female,Asian,0.302,0.502,0.797,0.587,0.241,high_school,11,0.584,7
59,female,White,0.559,0.652,0.558,0.507,0.459,master,11,0.582,7
65,female,Latine,0.631,0.666,0.407,0.589,0.401,bachelor,6,0.578,7
96,female,Latine,0.511,0.714,0.622,0.352,0.602,associate,2,0.575,7
40,female,White,0.787,0.458,0.686,0.506,0.562,high_school,14,0.57,7
55,male,Latine,0.577,0.549,0.586,0.712,0.641,high_school,6,0.568,7
95,male,Black,0.526,0.564,0.56,0.502,0.269,high_school,9,0.565,7
22,male,White,0.503,0.977,0.523,0.529,0.243,associate,8,0.703,8
39,male,White,0.671,0.697,0.68,0.681,0.344,high_school,6,0.682,8
61,female,Latine,0.552,0.743,0.716,0.558,0.455,high_school,15,0.66,8
35,female,White,0.645,0.879,0.441,0.419,0.334,high_school,4,0.644,8
12,male,White,0.604,0.762,0.669,0.202,0.273,associate,11,0.628,8
44,nonbinary,Asian,0.586,0.751,0.565,0.568,0.508,associate,14,0.626,8
62,male,Asian,0.379,0.614,0.82,0.491,0.298,bachelor,10,0.621,8
68,female,Latine,0.617,0.607,0.772,0.397,0.533,high_school,1,0.604,8
31,male,Black,0.351,0.559,0.841,0.531,0.384,high_school,15,0.6,8
70,female,Asian,0.416,0.761,0.546,0.526,0.461,high_school,3,0.598,8
33,female,Black,0.784,0.57,0.586,0.633,0.616,bachelor,10,0.597,8
73,female,Black,0.617,0.574,0.693,0.468,0.479,associate,11,0.589,8
65,female,Black,0.523,0.575,0.746,0.553,0.597,high_school,13,0.589,8
27,female,Asian,0.411,0.789,0.448,0.52,0.427,associate,8,0.585,8
86,male,Latine,0.502,0.63,0.485,0.771,0.477,associate,2,0.585,8
8,male,Black,0.398,0.718,0.616,0.441,0.484,high_school,2,0.583,8
38,female,Black,0.651,0.661,0.597,0.282,0.374,associate,6,0.583,8
37,female,Black,0.498,0.572,0.716,0.61,0.644,high_school,10,0.581,8
75,male,Asian,0.794,0.494,0.643,0.432,0.423,master,14,0.575,8
4,nonbinary,White,0.558,0.574,0.725,0.342,0.417,bachelor,1,0.575,8
20,male,Asian,0.688,0.717,0.92,0.614,0.524,master,7,0.724,9
16,male,White,0.889,0.719,0.607,0.537,0.525,associate,4,0.665,9
13,female,White,0.505,0.758,0.743,0.499,0.432,associate,4,0.658,9
100,female,White,0.416,0.994,0.563,0.293,0.626,associate,4,0.632,9
46,male,Black,0.62,0.725,0.679,0.439,0.528,master,5,0.63,9
12,female,Latine,0.635,0.664,0.618,0.713,0.591,associate,2,0.63,9
76,female,Black,0.793,0.614,0.707,0.615,0.756,associate,15,0.627,9
24,female,White,0.673,0.736,0.282,0.712,0.324,bachelor,8,0.603,9
90,female,Latine,0.414,0.724,0.504,0.659,0.397,master,9,0.601,9
89,male,Black,0.65,0.578,0.764,0.578,0.795,bachelor,0,0.598,9
86,female,Latine,0.724,0.694,0.53,0.461,0.576,master,0,0.596,9
23,female,White,0.531,0.665,0.638,0.556,0.691,master,0,0.586,9
28,male,Asian,0.689,0.589,0.676,0.348,0.444,bachelor,8,0.586,9
15,male,White,0.693,0.645,0.459,0.613,0.512,bachelor,9,0.585,9
40,female,Asian,0.795,0.867,0.094,0.485,0.392,bachelor,9,0.58,9
34,male,Latine,0.491,0.51,0.753,0.587,0.512,bachelor,11,0.577,9
45,female,White,0.382,0.76,0.301,0.742,0.348,bachelor,9,0.575,9
93,female,Asian,0.656,0.48,0.631,0.63,0.487,master,11,0.57,9
58,male,White,0.592,0.601,0.432,0.664,0.386,master,0,0.568,9
2,female,Multiracial,0.672,0.374,0.661,0.777,0.461,high_school,7,0.567,9
87,female,Latine,0.435,0.81,0.818,0.542,0.583,associate,15,0.676,10
50,female,Asian,0.568,0.968,0.549,0.305,0.471,associate,0,0.66,10
2,female,Latine,0.52,0.77,0.628,0.532,0.538,bachelor,3,0.63,10
1,female,Black,0.434,0.741,0.585,0.646,0.565,associate,6,0.611,10
49,female,Latine,0.563,0.589,0.758,0.452,0.402,high_school,4,0.608,10
98,male,White,0.518,0.588,0.84,0.497,0.667,bachelor,4,0.601,10
23,female,White,0.331,0.72,0.625,0.698,0.708,bachelor,11,0.592,10
12,male,White,0.398,0.557,0.676,0.75,0.506,bachelor,1,0.586,10
24,male,Black,0.672,0.51,0.874,0.445,0.796,bachelor,11,0.585,10
67,female,Latine,0.685,0.655,0.409,0.504,0.308,bachelor,13,0.579,10
72,male,Latine,0.655,0.722,0.395,0.392,0.326,associate,5,0.576,10
19,male,White,0.658,0.766,0.372,0.471,0.558,associate,2,0.575,10
59,female,Latine,0.325,0.777,0.497,0.488,0.439,master,10,0.574,10
88,male,White,0.688,0.541,0.466,0.502,0.142,high_school,9,0.57,10
86,male,Latine,0.649,0.523,0.738,0.341,0.499,high_school,0,0.566,10
52,male,Latine,0.603,0.52,0.601,0.613,0.524,associate,1,0.562,10
80,female,Asian,0.334,0.883,0.338,0.49,0.552,bachelor,8,0.562,10
60,female,Asian,0.398,0.699,0.625,0.462,0.706,master,5,0.559,10
29,male,Latine,0.597,0.603,0.591,0.293,0.369,bachelor,3,0.555,10
92,male,Latine,0.491,0.659,0.471,0.496,0.416,high_school,8,0.555,10
