candidate_id,gender,race_ethnicity,openness,conscientiousness,extraversion,agreeableness,neuroticism,education_level,years_experience,round,scenario
44,male,White,0.546,0.511,0.562,0.742,0.191,associate,7,1,personality_weighted
45,male,Black,0.721,0.555,0.627,0.414,0.622,master,1,1,personality_weighted
46,female,Asian,0.541,0.37,0.478,0.477,0.558,master,12,1,personality_weighted
47,male,Latine,0.722,0.388,0.377,0.53,0.627,bachelor,6,1,personality_weighted
48,female,Multiracial,0.626,0.583,0.849,0.469,0.199,high_school,11,1,personality_weighted
49,male,White,0.696,0.26,0.312,0.26,0.381,bachelor,0,1,personality_weighted
50,female,Asian,0.288,0.153,0.508,0.429,0.569,bachelor,12,1,personality_weighted
51,female,Multiracial,0.521,0.614,0.534,0.58,0.394,high_school,10,1,personality_weighted
52,female,White,0.441,0.578,0.46,0.482,0.624,master,3,1,personality_weighted
53,male,Asian,0.15,0.398,0.612,0.457,0.53,master,3,1,personality_weighted
54,male,Asian,0.385,0.703,0.514,0.374,0.411,associate,0,1,personality_weighted
55,male,Black,0.621,0.758,0.293,0.559,0.344,high_school,4,1,personality_weighted
56,female,Asian,0.639,0.409,0.42,0.34,0.402,associate,11,1,personality_weighted
57,male,White,0.554,0.698,0.449,0.278,0.66,master,9,1,personality_weighted
58,male,Asian,0.48,0.552,0.793,0.812,0.51,high_school,2,1,personality_weighted
59,female,Latine,0.55,0.496,0.547,0.375,0.262,bachelor,6,1,personality_weighted
60,male,Latine,0.456,0.791,0.666,0.356,0.552,master,0,1,personality_weighted
61,male,White,0.593,0.449,0.66,0.329,0.501,bachelor,10,1,personality_weighted
62,female,White,0.514,0.587,0.491,0.474,0.383,master,11,1,personality_weighted
63,female,Asian,0.592,0.6,0.663,0.555,0.457,associate,7,1,personality_weighted
64,female,Black,0.225,0.45,0.201,0.276,0.705,bachelor,5,1,personality_weighted
65,female,White,0.055,0.418,0.863,0.565,0.416,bachelor,1,1,personality_weighted
66,male,White,0.515,0.487,0.619,0.552,0.6,master,6,1,personality_weighted
67,female,Asian,0.354,0.367,0.7,0.471,0.711,master,15,1,personality_weighted
68,female,Black,0.539,0.735,0.446,0.359,0.433,master,12,1,personality_weighted
69,female,Latine,0.419,0.672,0.141,0.382,0.247,high_school,4,1,personality_weighted
70,male,White,0.462,0.476,0.531,0.349,0.606,bachelor,10,1,personality_weighted
71,female,Asian,0.544,0.805,0.487,0.454,0.387,associate,7,1,personality_weighted
72,male,Latine,0.423,0.367,0.489,0.55,0.508,bachelor,7,1,personality_weighted
73,female,Latine,0.476,0.402,0.582,0.528,0.283,associate,3,1,personality_weighted
74,female,Latine,0.528,0.282,0.7,0.687,0.462,high_school,11,1,personality_weighted
75,male,White,0.456,0.339,0.607,0.8,0.324,associate,15,1,personality_weighted
76,male,White,0.317,0.537,0.773,0.252,0.308,associate,15,1,personality_weighted
77,male,White,0.536,0.234,0.577,0.413,0.691,master,15,1,personality_weighted
78,male,Asian,0.614,0.567,0.247,0.581,0.345,associate,14,1,personality_weighted
79,male,White,0.379,0.308,0.607,0.536,0.408,bachelor,12,1,personality_weighted
80,male,Asian,0.54,0.407,0.571,0.42,0.438,associate,0,1,personality_weighted
81,male,Latine,0.742,0.882,0.439,0.209,0.453,associate,13,1,personality_weighted
82,female,Asian,0.587,0.579,0.276,0.605,0.808,master,3,1,personality_weighted
83,female,Latine,0.592,0.24,0.525,0.441,0.777,bachelor,2,1,personality_weighted
84,female,Latine,0.588,0.548,0.37,0.527,0.682,high_school,1,1,personality_weighted
85,female,Multiracial,0.365,0.449,0.488,0.244,0.258,master,12,1,personality_weighted
86,male,White,0.618,0.541,0.393,0.302,0.625,master,11,1,personality_weighted
87,female,Asian,0.563,0.558,0.475,0.623,0.594,high_school,4,1,personality_weighted
88,nonbinary,White,0.425,0.435,0.428,0.619,0.725,associate,13,1,personality_weighted
89,male,Multiracial,0.463,0.643,0.162,0.376,0.383,master,8,1,personality_weighted
90,female,Black,0.47,0.667,0.463,0.345,0.491,master,7,1,personality_weighted
91,female,White,0.584,0.467,0.597,0.498,0.605,associate,3,1,personality_weighted
92,male,Black,0.318,0.265,0.603,0.447,0.347,high_school,8,1,personality_weighted
93,female,Latine,0.276,0.362,0.719,0.542,0.615,bachelor,3,1,personality_weighted
94,female,White,0.509,0.582,0.472,0.542,0.524,master,11,1,personality_weighted
95,female,Black,0.163,0.65,0.678,0.347,0.221,high_school,1,1,personality_weighted
96,female,Asian,0.577,0.444,0.366,0.502,0.455,bachelor,9,1,personality_weighted
97,female,White,0.67,0.362,0.628,0.596,0.566,master,15,1,personality_weighted
98,female,Latine,0.596,0.551,0.232,0.513,0.417,bachelor,5,1,personality_weighted
99,male,White,0.704,0.538,0.703,0.502,0.53,associate,11,1,personality_weighted
100,male,Black,0.305,0.492,0.488,0.77,0.634,master,8,1,personality_weighted
1,female,Asian,0.47,0.338,0.477,0.388,0.312,high_school,14,2,personality_weighted
2,female,White,0.482,0.649,0.659,0.654,0.506,master,13,2,personality_weighted
3,male,White,0.557,0.693,0.665,0.48,0.313,bachelor,6,2,personality_weighted
4,female,White,0.413,0.538,0.424,0.406,0.547,master,0,2,personality_weighted
5,female,White,0.329,0.428,0.716,0.326,0.183,associate,2,2,personality_weighted
6,male,Asian,0.482,0.682,0.099,0.559,0.734,bachelor,6,2,personality_weighted
7,female,Asian,0.366,0.451,0.714,0.776,0.45,bachelor,13,2,personality_weighted
8,male,Latine,0.486,0.52,0.555,0.977,0.628,master,11,2,personality_weighted
9,female,White,0.427,0.636,0.505,0.542,0.502,bachelor,14,2,personality_weighted
10,female,White,0.6,0.353,0.284,0.491,0.513,high_school,5,2,personality_weighted
11,female,Latine,0.439,0.412,0.493,0.542,0.349,master,2,2,personality_weighted
12,male,White,0.206,0.498,0.467,0.484,0.496,bachelor,7,2,personality_weighted
13,male,Multiracial,0.324,0.336,0.543,0.687,0.435,bachelor,15,2,personality_weighted
14,female,Asian,0.416,0.439,0.506,0.453,0.657,bachelor,9,2,personality_weighted
15,male,White,0.27,0.558,0.515,0.478,0.738,bachelor,4,2,personality_weighted
16,male,Black,0.308,0.51,0.339,0.387,0.56,high_school,14,2,personality_weighted
17,female,Latine,0.674,0.715,0.579,0.705,0.218,master,11,2,personality_weighted
18,female,Asian,0.414,0.475,0.782,0.475,0.562,high_school,14,2,personality_weighted
19,female,Black,0.567,0.675,0.747,0.546,0.588,associate,2,2,personality_weighted
20,female,Latine,0.63,0.532,0.633,0.574,0.68,master,0,2,personality_weighted
21,female,White,0.06,0.557,0.0,0.241,0.568,bachelor,2,2,personality_weighted
22,male,Latine,0.706,0.427,0.836,0.5,0.561,bachelor,0,2,personality_weighted
23,female,Asian,0.484,0.495,0.295,0.462,0.389,bachelor,7,2,personality_weighted
24,female,Black,0.484,0.533,0.593,0.35,0.344,associate,2,2,personality_weighted
25,female,White,0.567,0.57,0.27,0.534,0.61,bachelor,9,2,personality_weighted
26,male,Black,0.55,0.455,0.428,0.631,0.722,master,7,2,personality_weighted
27,female,White,0.553,0.615,0.518,0.52,0.624,associate,6,2,personality_weighted
28,male,Latine,0.595,0.5,0.551,0.601,0.444,bachelor,6,2,personality_weighted
29,male,Black,0.716,0.425,0.252,0.343,0.347,master,5,2,personality_weighted
30,female,Latine,0.593,0.551,0.547,0.561,0.592,master,2,2,personality_weighted
31,male,Multiracial,0.505,0.499,0.657,0.678,0.53,bachelor,9,2,personality_weighted
32,male,Black,0.5,0.648,0.416,0.621,0.602,bachelor,6,2,personality_weighted
33,female,White,0.515,0.386,0.371,0.419,0.581,bachelor,7,2,personality_weighted
34,male,Multiracial,0.469,0.516,0.867,0.293,0.721,high_school,11,2,personality_weighted
35,male,Latine,0.567,0.477,0.718,0.432,0.67,associate,4,2,personality_weighted
36,female,Black,0.568,0.717,0.488,0.47,0.333,high_school,5,2,personality_weighted
37,female,Multiracial,0.534,0.698,0.921,0.412,0.715,associate,3,2,personality_weighted
38,female,Black,0.509,0.517,0.439,0.29,0.268,bachelor,12,2,personality_weighted
39,female,Latine,0.501,0.619,0.527,0.402,0.684,bachelor,8,2,personality_weighted
40,female,White,0.686,0.67,0.592,0.59,0.578,high_school,15,2,personality_weighted
41,female,White,0.381,0.696,0.626,0.723,0.459,bachelor,13,2,personality_weighted
42,male,Asian,0.512,0.67,0.446,0.553,0.352,associate,2,2,personality_weighted
43,female,Black,0.465,0.472,0.459,0.766,0.485,high_school,6,2,personality_weighted
44,female,Asian,0.461,0.397,0.707,0.475,0.693,associate,13,2,personality_weighted
45,female,White,0.501,0.758,0.152,0.2,0.419,high_school,8,2,personality_weighted
46,male,Black,0.442,0.653,0.655,0.528,0.644,master,1,2,personality_weighted
47,female,White,0.517,0.5,0.721,0.132,0.287,high_school,7,2,personality_weighted
48,female,White,0.274,0.352,0.371,0.869,0.77,master,4,2,personality_weighted
49,female,Black,0.214,0.482,0.35,0.487,0.26,master,9,2,personality_weighted
50,male,Latine,0.563,0.302,0.628,0.38,0.595,master,4,2,personality_weighted
51,female,Latine,0.555,0.592,0.479,0.73,0.651,bachelor,14,2,personality_weighted
52,male,Black,0.794,0.316,0.361,0.723,0.341,associate,3,2,personality_weighted
53,female,Latine,0.485,0.402,0.399,0.393,0.368,bachelor,2,2,personality_weighted
54,female,Latine,0.427,0.472,0.393,0.102,0.293,master,9,2,personality_weighted
55,female,White,0.699,0.493,0.694,0.562,0.617,associate,1,2,personality_weighted
56,female,Latine,0.414,0.584,0.585,0.418,0.332,high_school,5,2,personality_weighted
57,male,White,0.513,0.549,0.381,0.504,0.586,associate,15,2,personality_weighted
58,female,Black,0.35,0.753,0.42,0.657,0.51,master,13,2,personality_weighted
59,male,Asian,0.266,0.645,0.728,0.38,0.545,bachelor,6,2,personality_weighted
60,male,Latine,0.494,0.761,0.428,0.65,0.515,master,5,2,personality_weighted
61,female,White,0.483,0.375,0.599,0.598,0.589,master,12,2,personality_weighted
62,female,Asian,0.556,0.406,0.504,0.41,0.743,master,6,2,personality_weighted
63,male,Black,0.174,0.198,0.619,0.509,0.538,associate,11,2,personality_weighted
64,female,Asian,0.624,0.525,0.434,0.441,0.181,master,5,2,personality_weighted
65,male,Multiracial,0.401,0.326,0.355,0.508,0.187,high_school,15,2,personality_weighted
66,male,White,0.128,0.351,0.685,0.083,0.448,high_school,9,2,personality_weighted
67,female,White,0.561,0.585,0.775,0.47,0.556,high_school,13,2,personality_weighted
68,female,White,0.416,0.497,0.266,0.534,0.645,bachelor,2,2,personality_weighted
69,male,Latine,0.611,0.218,0.339,0.631,0.541,associate,2,2,personality_weighted
70,male,Multiracial,0.599,0.907,0.468,0.38,0.564,high_school,1,2,personality_weighted
71,female,White,0.846,0.549,0.39,0.637,0.484,associate,15,2,personality_weighted
72,female,Asian,0.553,0.787,0.57,0.444,0.424,master,13,2,personality_weighted
73,male,Latine,0.637,0.24,0.629,0.443,0.557,master,7,2,personality_weighted
74,male,Black,0.644,0.273,0.624,0.561,0.259,bachelor,13,2,personality_weighted
75,female,White,0.527,0.544,0.721,0.684,0.07,associate,8,2,personality_weighted
76,female,Latine,0.514,0.687,0.337,0.55,0.363,associate,5,2,personality_weighted
77,male,White,0.569,0.219,0.779,0.59,0.473,high_school,0,2,personality_weighted
78,male,Multiracial,0.451,0.469,0.426,0.413,0.604,high_school,3,2,personality_weighted
79,male,White,0.577,0.437,0.834,0.265,0.689,bachelor,10,2,personality_weighted
80,female,Black,0.649,0.646,0.504,0.467,0.469,associate,3,2,personality_weighted
81,female,Latine,0.363,0.624,0.638,0.598,0.612,high_school,10,2,personality_weighted
82,male,Black,0.255,0.536,0.487,0.434,0.057,master,1,2,personality_weighted
83,female,White,0.554,0.291,0.716,0.478,0.544,master,6,2,personality_weighted
84,nonbinary,White,0.411,0.451,0.576,0.484,0.441,associate,14,2,personality_weighted
85,female,White,0.514,0.768,0.554,0.644,0.391,high_school,13,2,personality_weighted
86,female,Latine,0.506,0.307,0.296,0.286,0.235,bachelor,12,2,personality_weighted
87,female,Black,0.161,0.471,0.476,0.814,0.281,associate,10,2,personality_weighted
88,female,Black,0.584,0.517,0.549,0.617,0.379,associate,4,2,personality_weighted
89,female,White,0.527,0.408,0.497,0.407,0.339,master,2,2,personality_weighted
90,female,White,0.327,0.607,0.323,0.415,0.406,high_school,12,2,personality_weighted
91,female,Black,0.575,0.184,0.494,0.8,0.52,high_school,7,2,personality_weighted
92,female,Latine,0.2,0.248,0.532,0.393,0.697,bachelor,4,2,personality_weighted
93,male,Asian,0.088,0.465,0.472,0.436,0.662,bachelor,15,2,personality_weighted
94,female,Black,0.593,0.583,0.546,0.647,0.325,bachelor,7,2,personality_weighted
95,female,Latine,0.247,0.36,0.727,0.461,0.626,high_school,12,2,personality_weighted
96,female,Latine,0.465,0.233,0.38,0.583,0.559,master,9,2,personality_weighted
97,female,Black,0.445,0.294,0.406,0.391,0.616,bachelor,15,2,personality_weighted
98,male,Latine,0.521,0.378,0.328,0.359,0.405,master,14,2,personality_weighted
99,male,Latine,0.262,0.504,0.467,0.551,0.498,high_school,6,2,personality_weighted
100,male,Latine,0.654,0.168,0.552,0.678,0.477,bachelor,0,2,personality_weighted
1,male,Black,0.257,0.148,0.641,0.352,0.432,high_school,6,3,personality_weighted
2,female,Asian,0.391,0.557,0.568,0.548,0.536,bachelor,10,3,personality_weighted
3,female,White,0.67,0.69,0.287,0.453,0.704,high_school,12,3,personality_weighted
4,female,White,0.442,0.543,0.462,0.494,0.512,high_school,14,3,personality_weighted
5,male,Latine,0.233,0.549,0.386,0.587,0.507,master,3,3,personality_weighted
6,male,Latine,0.67,0.148,0.739,0.556,0.662,associate,14,3,personality_weighted
7,female,White,0.497,0.542,0.663,0.235,0.646,bachelor,12,3,personality_weighted
8,male,White,0.575,0.138,0.597,0.276,0.508,master,11,3,personality_weighted
9,male,White,0.396,0.424,0.691,0.58,0.442,master,6,3,personality_weighted
10,male,Black,0.236,0.613,0.519,0.858,0.335,associate,12,3,personality_weighted
11,male,White,0.396,0.534,0.5,0.542,0.395,high_school,15,3,personality_weighted
12,female,Multiracial,0.568,0.466,0.258,0.648,0.555,associate,14,3,personality_weighted
13,male,Black,0.346,0.419,0.684,0.404,0.596,associate,3,3,personality_weighted
14,male,Black,0.631,0.42,0.264,0.293,0.42,master,6,3,personality_weighted
15,female,White,0.856,0.239,0.531,0.331,0.426,associate,12,3,personality_weighted
16,male,White,0.785,0.432,0.539,0.654,0.475,master,8,3,personality_weighted
17,male,Latine,0.483,0.348,0.519,0.412,0.421,master,9,3,personality_weighted
18,female,Latine,0.29,0.401,0.788,0.669,0.515,high_school,1,3,personality_weighted
19,male,White,0.506,0.486,0.495,0.468,0.284,high_school,12,3,personality_weighted
20,female,Latine,0.472,0.377,0.517,0.442,0.722,high_school,7,3,personality_weighted
21,male,Latine,0.384,0.413,0.547,0.426,0.634,master,10,3,personality_weighted
22,male,Asian,0.415,0.665,0.594,0.756,0.84,high_school,4,3,personality_weighted
23,male,Black,0.383,0.405,0.341,0.342,0.478,associate,11,3,personality_weighted
24,female,Latine,0.921,0.432,0.511,0.306,0.756,associate,7,3,personality_weighted
25,male,Asian,0.532,0.332,0.719,0.621,0.514,master,7,3,personality_weighted
26,female,Asian,0.682,0.666,0.261,0.545,0.652,associate,7,3,personality_weighted
27,female,Black,0.455,0.222,0.451,0.451,0.478,bachelor,6,3,personality_weighted
28,male,Black,0.566,0.454,0.439,0.514,0.212,associate,10,3,personality_weighted
29,male,White,0.644,0.207,0.204,0.541,0.499,high_school,12,3,personality_weighted
30,female,White,0.64,0.573,0.461,0.184,0.615,master,15,3,personality_weighted
31,female,White,0.601,0.629,0.734,0.369,0.466,bachelor,13,3,personality_weighted
32,male,Latine,0.562,0.587,0.513,0.533,0.461,high_school,5,3,personality_weighted
33,male,Latine,0.502,0.632,0.275,0.303,0.194,associate,5,3,personality_weighted
34,male,White,0.599,0.404,0.535,0.455,0.601,high_school,0,3,personality_weighted
35,female,White,0.657,0.559,0.29,0.598,0.337,master,0,3,personality_weighted
36,female,Asian,0.524,0.469,0.602,0.444,0.535,bachelor,14,3,personality_weighted
37,female,White,0.321,0.34,0.226,0.609,0.771,high_school,11,3,personality_weighted
38,female,Latine,0.713,0.431,0.515,0.199,0.54,bachelor,0,3,personality_weighted
39,male,White,0.581,0.654,0.383,0.329,0.177,bachelor,12,3,personality_weighted
40,female,Latine,0.568,0.433,0.339,0.417,0.661,bachelor,7,3,personality_weighted
41,male,Black,0.326,0.505,0.522,0.43,0.565,associate,14,3,personality_weighted
42,male,White,0.062,0.679,0.043,0.408,0.654,master,1,3,personality_weighted
43,female,White,0.654,0.212,0.669,0.492,0.321,bachelor,1,3,personality_weighted
44,male,White,0.61,0.242,0.439,0.371,0.694,high_school,5,3,personality_weighted
45,female,Asian,0.326,0.398,0.38,0.309,0.514,bachelor,6,3,personality_weighted
46,male,Multiracial,0.23,0.387,0.364,0.369,0.8,bachelor,2,3,personality_weighted
47,male,Latine,0.402,0.532,0.346,0.636,0.32,bachelor,5,3,personality_weighted
48,male,Black,0.404,0.459,0.465,0.39,0.573,associate,14,3,personality_weighted
49,female,Black,0.619,0.465,0.454,0.516,0.754,high_school,7,3,personality_weighted
50,female,White,0.533,0.736,0.573,0.526,0.416,master,1,3,personality_weighted
51,female,White,0.457,0.53,0.385,0.379,0.296,high_school,9,3,personality_weighted
52,male,Asian,0.645,0.513,0.559,0.546,0.486,associate,0,3,personality_weighted
53,male,Multiracial,0.4,0.565,0.538,0.289,0.668,bachelor,0,3,personality_weighted
54,female,White,0.594,0.31,0.767,0.599,0.498,high_school,13,3,personality_weighted
55,male,Latine,0.401,0.587,0.571,0.502,0.382,master,8,3,personality_weighted
56,female,White,0.279,0.585,0.11,0.531,0.428,bachelor,13,3,personality_weighted
57,male,Black,0.44,0.517,0.611,0.431,0.649,bachelor,4,3,personality_weighted
58,male,Latine,0.599,0.787,0.385,0.293,0.351,bachelor,5,3,personality_weighted
59,male,Latine,0.332,0.615,0.316,0.674,0.929,high_school,14,3,personality_weighted
60,male,Black,0.426,0.228,0.41,0.336,0.283,associate,12,3,personality_weighted
61,female,Black,0.454,0.474,0.645,0.495,0.58,high_school,8,3,personality_weighted
62,female,Black,0.203,0.461,0.508,0.307,0.495,master,1,3,personality_weighted
63,female,Latine,0.561,0.558,0.327,0.524,0.653,associate,5,3,personality_weighted
64,male,White,0.406,0.57,0.529,0.594,0.52,master,8,3,personality_weighted
65,female,White,0.631,0.379,0.229,0.732,0.538,bachelor,12,3,personality_weighted
66,female,White,0.458,0.423,0.71,0.343,0.38,high_school,0,3,personality_weighted
67,female,Latine,0.637,0.53,0.573,0.461,0.509,master,0,3,personality_weighted
68,female,Asian,0.583,0.507,0.379,0.51,0.496,master,6,3,personality_weighted
69,female,Latine,0.563,0.66,0.515,0.851,0.443,bachelor,9,3,personality_weighted
70,male,Asian,0.537,0.627,0.548,0.689,0.486,high_school,2,3,personality_weighted
71,male,Black,0.392,0.396,0.359,0.64,0.445,associate,9,3,personality_weighted
72,male,Latine,0.373,0.339,0.534,0.59,0.55,high_school,10,3,personality_weighted
73,male,White,0.422,0.358,0.695,0.595,0.591,associate,7,3,personality_weighted
74,female,Black,0.389,0.408,0.372,0.338,0.455,bachelor,14,3,personality_weighted
75,female,Asian,0.572,0.576,0.59,0.444,0.818,master,4,3,personality_weighted
76,male,Black,0.239,0.503,0.482,0.43,0.802,master,15,3,personality_weighted
77,male,Latine,0.35,0.506,0.526,0.222,0.473,master,0,3,personality_weighted
78,male,Latine,0.419,0.473,0.514,0.591,0.662,high_school,5,3,personality_weighted
79,male,Asian,0.592,0.435,0.619,0.647,0.694,master,12,3,personality_weighted
80,female,White,0.502,0.485,0.403,0.277,0.514,high_school,2,3,personality_weighted
81,male,White,0.335,0.535,0.523,0.587,0.828,bachelor,13,3,personality_weighted
82,male,Latine,0.307,0.737,0.361,0.343,0.494,high_school,3,3,personality_weighted
83,male,Black,0.684,0.379,0.291,0.641,0.574,associate,4,3,personality_weighted
84,female,White,0.492,0.675,0.345,0.487,0.601,bachelor,0,3,personality_weighted
85,female,Latine,0.55,0.537,0.663,0.583,0.143,high_school,5,3,personality_weighted
86,female,Latine,0.572,0.618,0.591,0.468,0.223,high_school,2,3,personality_weighted
87,male,Black,0.595,0.636,0.519,0.04,0.308,master,1,3,personality_weighted
88,female,White,0.685,0.502,0.666,0.542,0.569,associate,7,3,personality_weighted
89,male,Asian,0.646,0.263,0.567,0.671,0.68,master,5,3,personality_weighted
90,female,White,0.886,0.387,0.424,0.454,0.426,high_school,1,3,personality_weighted
91,male,Latine,0.555,0.426,0.79,0.502,0.694,associate,8,3,personality_weighted
92,female,Asian,0.705,0.508,0.574,0.555,0.457,master,0,3,personality_weighted
93,female,Latine,0.563,0.689,0.671,0.502,0.142,associate,8,3,personality_weighted
94,female,Asian,0.525,0.65,0.365,0.267,0.539,high_school,9,3,personality_weighted
95,female,Black,0.915,0.625,0.657,0.627,0.722,associate,12,3,personality_weighted
96,male,Latine,0.622,0.355,0.474,0.396,0.725,bachelor,0,3,personality_weighted
97,male,White,0.494,0.53,0.322,0.172,0.523,high_school,12,3,personality_weighted
98,female,Latine,0.735,0.35,0.447,0.572,0.88,bachelor,14,3,personality_weighted
99,female,Latine,0.368,0.618,0.335,0.464,0.483,master,8,3,personality_weighted
100,female,Asian,0.576,0.395,0.506,0.487,0.459,master,11,3,personality_weighted
1,male,White,0.603,0.408,0.259,0.6,0.668,associate,5,4,personality_weighted
2,male,Multiracial,0.251,0.546,0.367,0.326,0.434,associate,2,4,personality_weighted
3,female,White,0.433,0.647,0.542,0.395,0.37,master,9,4,personality_weighted
4,female,Latine,0.144,0.42,0.365,0.736,0.245,master,8,4,personality_weighted
5,male,Asian,0.388,0.405,0.592,0.151,0.221,associate,9,4,personality_weighted
6,male,Latine,0.515,0.67,0.816,0.413,0.497,associate,0,4,personality_weighted
7,female,Black,0.347,0.515,0.464,0.356,0.353,high_school,5,4,personality_weighted
8,female,Black,0.511,0.586,0.354,0.611,0.623,master,14,4,personality_weighted
9,male,Black,0.615,0.623,0.42,0.44,0.581,bachelor,10,4,personality_weighted
10,male,White,0.649,0.409,0.224,0.213,0.311,master,10,4,personality_weighted
11,male,Black,0.395,0.384,0.434,0.698,0.599,high_school,3,4,personality_weighted
12,male,Asian,0.549,0.588,0.364,0.505,0.195,associate,2,4,personality_weighted
13,male,White,0.772,0.368,0.533,0.495,0.485,bachelor,0,4,personality_weighted
14,male,White,0.707,0.5,0.622,0.395,0.615,high_school,6,4,personality_weighted
15,female,White,0.482,0.171,0.418,0.685,0.583,high_school,7,4,personality_weighted
16,female,White,0.683,0.638,0.728,0.554,0.636,master,0,4,personality_weighted
17,female,Black,0.532,0.621,0.519,0.412,0.502,bachelor,1,4,personality_weighted
18,male,White,0.468,0.767,0.468,0.23,0.784,high_school,9,4,personality_weighted
19,female,Black,0.662,0.419,0.672,0.581,0.537,bachelor,7,4,personality_weighted
20,male,White,0.37,0.37,0.257,0.592,0.595,master,1,4,personality_weighted
21,male,Latine,0.618,0.493,0.427,0.453,0.803,master,10,4,personality_weighted
22,female,White,0.484,0.435,0.187,0.558,0.443,high_school,5,4,personality_weighted
23,male,Black,0.724,0.554,0.507,0.699,0.752,associate,13,4,personality_weighted
24,male,White,0.566,0.229,0.57,0.841,0.596,high_school,6,4,personality_weighted
25,male,Asian,0.557,0.378,0.355,0.69,0.706,bachelor,10,4,personality_weighted
26,female,White,0.551,0.569,0.649,0.512,0.712,master,12,4,personality_weighted
27,male,White,0.824,0.57,0.607,0.259,0.377,high_school,13,4,personality_weighted
28,male,Latine,0.656,0.418,0.712,0.487,0.531,associate,9,4,personality_weighted
29,female,White,0.471,0.624,0.3,0.25,0.624,bachelor,12,4,personality_weighted
30,female,Latine,0.398,0.499,0.64,0.384,0.749,associate,7,4,personality_weighted
31,female,Asian,0.532,0.417,0.477,0.703,0.72,bachelor,13,4,personality_weighted
32,male,Latine,0.352,0.492,0.501,0.671,0.681,associate,8,4,personality_weighted
