candidate_id,gender,race_ethnicity,openness,conscientiousness,extraversion,agreeableness,neuroticism,education_level,years_experience,score,round
20,male,Asian,0.688,0.717,0.92,0.614,0.524,master,7,0.693,9
89,male,Black,0.65,0.578,0.764,0.578,0.795,bachelor,0,0.673,9
16,male,White,0.889,0.719,0.607,0.537,0.525,associate,4,0.655,9
12,female,Latine,0.635,0.664,0.618,0.713,0.591,associate,2,0.644,9
23,female,White,0.531,0.665,0.638,0.556,0.691,master,0,0.616,9
5,female,Asian,0.609,0.324,0.577,0.811,0.723,master,0,0.609,9
78,female,Latine,0.467,0.568,0.719,0.545,0.717,associate,11,0.603,9
46,male,Black,0.62,0.725,0.679,0.439,0.528,master,5,0.598,9
86,female,Latine,0.724,0.694,0.53,0.461,0.576,master,0,0.597,9
2,female,Multiracial,0.672,0.374,0.661,0.777,0.461,high_school,7,0.589,9
13,female,White,0.505,0.758,0.743,0.499,0.432,associate,4,0.587,9
15,male,White,0.693,0.645,0.459,0.613,0.512,bachelor,9,0.584,9
1,female,Black,0.557,0.377,0.811,0.413,0.733,high_school,12,0.578,9
53,male,White,0.447,0.405,0.781,0.493,0.765,high_school,11,0.578,9
100,female,White,0.416,0.994,0.563,0.293,0.626,associate,4,0.578,9
93,female,Asian,0.656,0.48,0.631,0.63,0.487,master,11,0.577,9
52,female,Latine,0.432,0.319,0.76,0.732,0.633,bachelor,14,0.575,9
42,male,Latine,0.479,0.44,0.582,0.766,0.587,associate,9,0.571,9
34,male,Latine,0.491,0.51,0.753,0.587,0.512,bachelor,11,0.571,9
24,male,Black,0.672,0.51,0.874,0.445,0.796,bachelor,11,0.659,10
87,female,Latine,0.435,0.81,0.818,0.542,0.583,associate,15,0.638,10
98,male,White,0.518,0.588,0.84,0.497,0.667,bachelor,4,0.622,10
23,female,White,0.331,0.72,0.625,0.698,0.708,bachelor,11,0.616,10
2,female,Latine,0.52,0.77,0.628,0.532,0.538,bachelor,3,0.598,10
1,female,Black,0.434,0.741,0.585,0.646,0.565,associate,6,0.594,10
16,male,Black,0.563,0.419,0.592,0.779,0.571,bachelor,0,0.585,10
60,female,Asian,0.398,0.699,0.625,0.462,0.706,master,5,0.578,10
12,male,White,0.398,0.557,0.676,0.75,0.506,bachelor,1,0.577,10
50,female,Asian,0.568,0.968,0.549,0.305,0.471,associate,0,0.572,10
52,male,Latine,0.603,0.52,0.601,0.613,0.524,associate,1,0.572,10
19,male,White,0.658,0.766,0.372,0.471,0.558,associate,2,0.565,10
49,female,Latine,0.563,0.589,0.758,0.452,0.402,high_school,4,0.553,10
33,male,Latine,0.732,0.278,0.363,0.921,0.459,high_school,2,0.551,10
70,female,White,0.642,0.409,0.677,0.426,0.598,high_school,0,0.55,10
86,male,Latine,0.649,0.523,0.738,0.341,0.499,high_school,0,0.55,10
96,female,Multiracial,0.627,0.662,0.422,0.389,0.611,associate,0,0.542,10
83,male,Asian,0.365,0.716,0.37,0.584,0.646,high_school,8,0.536,10
81,male,Black,0.465,0.333,0.823,0.467,0.59,high_school,12,0.536,10
89,female,White,0.649,0.587,0.559,0.275,0.589,master,1,0.532,10
