candidate_id,gender,race_ethnicity,openness,conscientiousness,extraversion,agreeableness,neuroticism,education_level,years_experience,score,round,scenario
60,male,Latine,0.494,0.761,0.428,0.65,0.515,master,5,0.684,2,culture_fit_feedback
42,male,Asian,0.512,0.67,0.446,0.553,0.352,associate,2,0.68,2,culture_fit_feedback
80,female,Black,0.649,0.646,0.504,0.467,0.469,associate,3,0.679,2,culture_fit_feedback
46,male,Black,0.442,0.653,0.655,0.528,0.644,master,1,0.674,2,culture_fit_feedback
88,female,Black,0.584,0.517,0.549,0.617,0.379,associate,4,0.673,2,culture_fit_feedback
55,female,White,0.699,0.493,0.694,0.562,0.617,associate,1,0.667,2,culture_fit_feedback
93,female,Latine,0.563,0.689,0.671,0.502,0.142,associate,8,0.732,3,culture_fit_feedback
50,female,White,0.533,0.736,0.573,0.526,0.416,master,1,0.721,3,culture_fit_feedback
69,female,Latine,0.563,0.66,0.515,0.851,0.443,bachelor,9,0.715,3,culture_fit_feedback
95,female,Black,0.915,0.625,0.657,0.627,0.722,associate,12,0.702,3,culture_fit_feedback
31,female,White,0.601,0.629,0.734,0.369,0.466,bachelor,13,0.697,3,culture_fit_feedback
70,male,Asian,0.537,0.627,0.548,0.689,0.486,high_school,2,0.696,3,culture_fit_feedback
86,female,Latine,0.572,0.618,0.591,0.468,0.223,high_school,2,0.695,3,culture_fit_feedback
85,female,Latine,0.55,0.537,0.663,0.583,0.143,high_school,5,0.695,3,culture_fit_feedback
92,female,Asian,0.705,0.508,0.574,0.555,0.457,master,0,0.673,3,culture_fit_feedback
32,male,Latine,0.562,0.587,0.513,0.533,0.461,high_school,5,0.672,3,culture_fit_feedback
88,female,White,0.685,0.502,0.666,0.542,0.569,associate,7,0.668,3,culture_fit_feedback
52,male,Asian,0.645,0.513,0.559,0.546,0.486,associate,0,0.663,3,culture_fit_feedback
55,male,Latine,0.401,0.587,0.571,0.502,0.382,master,8,0.657,3,culture_fit_feedback
58,male,Latine,0.599,0.787,0.385,0.293,0.351,bachelor,5,0.655,3,culture_fit_feedback
22,male,Asian,0.415,0.665,0.594,0.756,0.84,high_school,4,0.655,3,culture_fit_feedback
67,female,Latine,0.637,0.53,0.573,0.461,0.509,master,0,0.655,3,culture_fit_feedback
10,male,Black,0.236,0.613,0.519,0.858,0.335,associate,12,0.65,3,culture_fit_feedback
16,male,White,0.785,0.432,0.539,0.654,0.475,master,8,0.648,3,culture_fit_feedback
64,male,White,0.406,0.57,0.529,0.594,0.52,master,8,0.643,3,culture_fit_feedback
2,female,Asian,0.391,0.557,0.568,0.548,0.536,bachelor,10,0.64,3,culture_fit_feedback
96,female,Latine,0.581,0.796,0.472,0.955,0.466,high_school,11,0.734,4,culture_fit_feedback
16,female,White,0.683,0.638,0.728,0.554,0.636,master,0,0.711,4,culture_fit_feedback
6,male,Latine,0.515,0.67,0.816,0.413,0.497,associate,0,0.71,4,culture_fit_feedback
50,male,White,0.436,0.895,0.583,0.43,0.57,master,10,0.703,4,culture_fit_feedback
38,male,White,0.568,0.685,0.467,0.649,0.396,master,1,0.701,4,culture_fit_feedback
51,female,Latine,0.575,0.66,0.558,0.514,0.502,master,3,0.698,4,culture_fit_feedback
100,male,Latine,0.66,0.603,0.646,0.506,0.617,high_school,1,0.685,4,culture_fit_feedback
40,male,White,0.643,0.574,0.522,0.559,0.371,master,13,0.684,4,culture_fit_feedback
94,male,White,0.603,0.582,0.536,0.583,0.494,master,6,0.682,4,culture_fit_feedback
46,female,White,0.234,0.653,0.674,0.657,0.43,bachelor,1,0.681,4,culture_fit_feedback
78,female,Latine,0.85,0.623,0.45,0.687,0.603,bachelor,2,0.676,4,culture_fit_feedback
97,female,Latine,0.625,0.483,0.767,0.536,0.541,master,4,0.675,4,culture_fit_feedback
83,male,Latine,0.664,0.573,0.521,0.486,0.375,bachelor,10,0.672,4,culture_fit_feedback
67,male,White,0.582,0.427,0.783,0.5,0.165,associate,13,0.668,4,culture_fit_feedback
49,female,Latine,0.227,0.763,0.624,0.615,0.645,master,13,0.666,4,culture_fit_feedback
41,female,Latine,0.678,0.532,0.474,0.56,0.071,high_school,1,0.664,4,culture_fit_feedback
77,female,Latine,0.708,0.596,0.744,0.491,0.859,bachelor,4,0.662,4,culture_fit_feedback
34,female,Asian,0.423,0.544,0.859,0.341,0.215,associate,3,0.661,4,culture_fit_feedback
87,female,White,0.538,0.565,0.812,0.373,0.629,high_school,6,0.66,4,culture_fit_feedback
99,female,Black,0.583,0.601,0.403,0.551,0.369,associate,15,0.66,4,culture_fit_feedback
6,female,White,0.835,0.65,0.714,0.513,0.251,bachelor,9,0.74,5,culture_fit_feedback
50,male,Latine,0.574,0.628,0.609,0.618,0.554,master,3,0.705,5,culture_fit_feedback
82,male,White,0.455,0.644,0.685,0.49,0.468,bachelor,13,0.697,5,culture_fit_feedback
55,female,Black,0.72,0.618,0.494,0.597,0.385,high_school,9,0.696,5,culture_fit_feedback
41,female,Asian,0.651,0.662,0.465,0.589,0.463,associate,4,0.694,5,culture_fit_feedback
75,female,Latine,0.49,0.675,0.639,0.567,0.639,master,5,0.693,5,culture_fit_feedback
96,female,Black,0.613,0.553,0.665,0.559,0.531,associate,5,0.691,5,culture_fit_feedback
31,male,White,0.517,0.642,0.52,0.684,0.501,bachelor,12,0.691,5,culture_fit_feedback
58,male,Asian,0.595,0.609,0.679,0.402,0.481,master,13,0.689,5,culture_fit_feedback
63,male,White,0.521,0.573,0.579,0.585,0.21,associate,5,0.689,5,culture_fit_feedback
19,female,Black,0.525,0.617,0.637,0.543,0.588,high_school,11,0.689,5,culture_fit_feedback
88,male,Multiracial,0.75,0.547,0.584,0.503,0.346,high_school,15,0.686,5,culture_fit_feedback
95,male,Black,0.6,0.502,0.633,0.619,0.287,associate,9,0.686,5,culture_fit_feedback
42,male,Asian,0.524,0.747,0.473,0.567,0.582,master,12,0.684,5,culture_fit_feedback
39,male,White,0.425,0.633,0.646,0.697,0.631,bachelor,8,0.681,5,culture_fit_feedback
54,female,Latine,0.709,0.645,0.863,0.292,0.719,bachelor,7,0.677,5,culture_fit_feedback
76,male,Black,0.563,0.582,0.664,0.36,0.364,high_school,7,0.676,5,culture_fit_feedback
70,male,White,0.708,0.534,0.595,0.542,0.537,master,2,0.676,5,culture_fit_feedback
9,male,Black,0.539,0.539,0.573,0.551,0.373,high_school,1,0.676,5,culture_fit_feedback
37,female,Latine,0.574,0.81,0.704,0.216,0.713,bachelor,7,0.672,5,culture_fit_feedback
5,female,Latine,0.541,0.836,0.714,0.454,0.452,high_school,5,0.746,6,culture_fit_feedback
29,female,Asian,0.818,0.65,0.623,0.586,0.35,master,3,0.737,6,culture_fit_feedback
90,male,White,0.541,0.698,0.557,0.62,0.359,master,0,0.717,6,culture_fit_feedback
89,female,Multiracial,0.696,0.619,0.778,0.382,0.116,master,14,0.713,6,culture_fit_feedback
16,female,White,0.434,0.613,0.841,0.509,0.385,associate,7,0.709,6,culture_fit_feedback
62,male,White,0.561,0.588,0.87,0.407,0.46,bachelor,11,0.708,6,culture_fit_feedback
46,female,Black,0.434,0.657,0.571,0.585,0.234,high_school,3,0.695,6,culture_fit_feedback
95,male,White,0.412,0.745,0.63,0.446,0.543,high_school,4,0.686,6,culture_fit_feedback
12,female,Latine,0.63,0.607,0.588,0.485,0.537,associate,8,0.685,6,culture_fit_feedback
2,female,Latine,0.612,0.616,0.549,0.462,0.446,associate,10,0.685,6,culture_fit_feedback
77,male,Asian,0.485,0.746,0.547,0.566,0.657,master,0,0.685,6,culture_fit_feedback
6,male,White,0.554,0.538,0.603,0.758,0.526,associate,4,0.684,6,culture_fit_feedback
33,male,Latine,0.581,0.991,0.321,0.397,0.563,bachelor,13,0.677,6,culture_fit_feedback
82,female,Latine,0.515,0.799,0.437,0.4,0.417,bachelor,12,0.674,6,culture_fit_feedback
17,male,Black,0.583,0.623,0.565,0.467,0.585,associate,11,0.673,6,culture_fit_feedback
9,female,White,0.391,0.524,0.83,0.497,0.396,master,7,0.671,6,culture_fit_feedback
54,male,Asian,0.74,0.527,0.692,0.339,0.362,high_school,15,0.668,6,culture_fit_feedback
31,male,Multiracial,0.461,0.501,0.633,0.668,0.448,associate,5,0.667,6,culture_fit_feedback
65,female,White,0.423,0.614,0.558,0.532,0.494,bachelor,12,0.666,6,culture_fit_feedback
93,male,Latine,0.662,0.501,0.619,0.427,0.228,high_school,0,0.664,6,culture_fit_feedback
52,female,White,0.652,0.835,0.609,0.486,0.435,bachelor,5,0.749,7,culture_fit_feedback
69,male,Multiracial,0.648,0.679,0.727,0.771,0.52,associate,13,0.744,7,culture_fit_feedback
1,male,Latine,0.545,0.741,0.681,0.555,0.352,master,5,0.743,7,culture_fit_feedback
92,male,White,0.621,0.619,0.786,0.394,0.352,master,3,0.711,7,culture_fit_feedback
59,female,White,0.559,0.652,0.558,0.507,0.459,master,11,0.7,7,culture_fit_feedback
24,female,Asian,0.783,0.708,0.553,0.496,0.627,associate,8,0.697,7,culture_fit_feedback
45,female,Latine,0.502,0.619,0.747,0.588,0.62,master,11,0.697,7,culture_fit_feedback
42,female,Black,0.285,0.805,0.546,0.572,0.299,master,7,0.69,7,culture_fit_feedback
50,male,Asian,0.507,0.703,0.599,0.369,0.403,associate,6,0.689,7,culture_fit_feedback
25,female,White,0.227,0.668,0.81,0.512,0.181,master,8,0.688,7,culture_fit_feedback
79,male,White,0.4,0.557,0.729,0.672,0.312,associate,1,0.687,7,culture_fit_feedback
85,female,White,0.651,0.843,0.274,0.547,0.337,associate,2,0.683,7,culture_fit_feedback
77,female,White,0.417,0.772,0.501,0.767,0.613,master,3,0.682,7,culture_fit_feedback
65,female,Latine,0.631,0.666,0.407,0.589,0.401,bachelor,6,0.681,7,culture_fit_feedback
96,female,Latine,0.511,0.714,0.622,0.352,0.602,associate,2,0.673,7,culture_fit_feedback
95,male,Black,0.526,0.564,0.56,0.502,0.269,high_school,9,0.672,7,culture_fit_feedback
43,female,Black,0.661,0.847,0.358,0.347,0.368,associate,4,0.67,7,culture_fit_feedback
55,male,Latine,0.577,0.549,0.586,0.712,0.641,high_school,6,0.669,7,culture_fit_feedback
37,female,Latine,0.5,0.653,0.563,0.522,0.664,bachelor,11,0.667,7,culture_fit_feedback
78,female,Latine,0.511,0.635,0.498,0.453,0.462,master,2,0.665,7,culture_fit_feedback
22,male,White,0.503,0.977,0.523,0.529,0.243,associate,8,0.75,8,culture_fit_feedback
39,male,White,0.671,0.697,0.68,0.681,0.344,high_school,6,0.749,8,culture_fit_feedback
61,female,Latine,0.552,0.743,0.716,0.558,0.455,high_school,15,0.748,8,culture_fit_feedback
44,nonbinary,Asian,0.586,0.751,0.565,0.568,0.508,associate,14,0.723,8,culture_fit_feedback
35,female,White,0.645,0.879,0.441,0.419,0.334,high_school,4,0.708,8,culture_fit_feedback
62,male,Asian,0.379,0.614,0.82,0.491,0.298,bachelor,10,0.697,8,culture_fit_feedback
70,female,Asian,0.416,0.761,0.546,0.526,0.461,high_school,3,0.697,8,culture_fit_feedback
12,male,White,0.604,0.762,0.669,0.202,0.273,associate,11,0.696,8,culture_fit_feedback
68,female,Latine,0.617,0.607,0.772,0.397,0.533,high_school,1,0.694,8,culture_fit_feedback
73,female,Black,0.617,0.574,0.693,0.468,0.479,associate,11,0.693,8,culture_fit_feedback
65,female,Black,0.523,0.575,0.746,0.553,0.597,high_school,13,0.688,8,culture_fit_feedback
8,male,Black,0.398,0.718,0.616,0.441,0.484,high_school,2,0.685,8,culture_fit_feedback
33,female,Black,0.784,0.57,0.586,0.633,0.616,bachelor,10,0.683,8,culture_fit_feedback
31,male,Black,0.351,0.559,0.841,0.531,0.384,high_school,15,0.683,8,culture_fit_feedback
86,male,Latine,0.502,0.63,0.485,0.771,0.477,associate,2,0.682,8,culture_fit_feedback
38,female,Black,0.651,0.661,0.597,0.282,0.374,associate,6,0.681,8,culture_fit_feedback
27,female,Asian,0.411,0.789,0.448,0.52,0.427,associate,8,0.679,8,culture_fit_feedback
48,female,Latine,0.485,0.634,0.589,0.526,0.579,high_school,4,0.678,8,culture_fit_feedback
4,nonbinary,White,0.558,0.574,0.725,0.342,0.417,bachelor,1,0.677,8,culture_fit_feedback
37,female,Black,0.498,0.572,0.716,0.61,0.644,high_school,10,0.676,8,culture_fit_feedback
20,male,Asian,0.688,0.717,0.92,0.614,0.524,master,7,0.768,9,culture_fit_feedback
13,female,White,0.505,0.758,0.743,0.499,0.432,associate,4,0.74,9,culture_fit_feedback
16,male,White,0.889,0.719,0.607,0.537,0.525,associate,4,0.737,9,culture_fit_feedback
46,male,Black,0.62,0.725,0.679,0.439,0.528,master,5,0.718,9,culture_fit_feedback
12,female,Latine,0.635,0.664,0.618,0.713,0.591,associate,2,0.716,9,culture_fit_feedback
76,female,Black,0.793,0.614,0.707,0.615,0.756,associate,15,0.694,9,culture_fit_feedback
90,female,Latine,0.414,0.724,0.504,0.659,0.397,master,9,0.691,9,culture_fit_feedback
23,female,White,0.531,0.665,0.638,0.556,0.691,master,0,0.69,9,culture_fit_feedback
86,female,Latine,0.724,0.694,0.53,0.461,0.576,master,0,0.688,9,culture_fit_feedback
100,female,White,0.416,0.994,0.563,0.293,0.626,associate,4,0.685,9,culture_fit_feedback
15,male,White,0.693,0.645,0.459,0.613,0.512,bachelor,9,0.684,9,culture_fit_feedback
28,male,Asian,0.689,0.589,0.676,0.348,0.444,bachelor,8,0.683,9,culture_fit_feedback
89,male,Black,0.65,0.578,0.764,0.578,0.795,bachelor,0,0.677,9,culture_fit_feedback
34,male,Latine,0.491,0.51,0.753,0.587,0.512,bachelor,11,0.676,9,culture_fit_feedback
93,female,Asian,0.656,0.48,0.631,0.63,0.487,master,11,0.674,9,culture_fit_feedback
24,female,White,0.673,0.736,0.282,0.712,0.324,bachelor,8,0.673,9,culture_fit_feedback
58,male,White,0.592,0.601,0.432,0.664,0.386,master,0,0.671,9,culture_fit_feedback
25,male,Black,0.266,0.597,0.602,0.658,0.435,associate,8,0.659,9,culture_fit_feedback
78,female,Latine,0.467,0.568,0.719,0.545,0.717,associate,11,0.658,9,culture_fit_feedback
2,female,Multiracial,0.672,0.374,0.661,0.777,0.461,high_school,7,0.656,9,culture_fit_feedback
87,female,Latine,0.435,0.81,0.818,0.542,0.583,associate,15,0.736,10,culture_fit_feedback
2,female,Latine,0.52,0.77,0.628,0.532,0.538,bachelor,3,0.725,10,culture_fit_feedback
50,female,Asian,0.568,0.968,0.549,0.305,0.471,associate,0,0.724,10,culture_fit_feedback
49,female,Latine,0.563,0.589,0.758,0.452,0.402,high_school,4,0.704,10,culture_fit_feedback
1,female,Black,0.434,0.741,0.585,0.646,0.565,associate,6,0.7,10,culture_fit_feedback
98,male,White,0.518,0.588,0.84,0.497,0.667,bachelor,4,0.685,10,culture_fit_feedback
12,male,White,0.398,0.557,0.676,0.75,0.506,bachelor,1,0.675,10,culture_fit_feedback
52,male,Latine,0.603,0.52,0.601,0.613,0.524,associate,1,0.675,10,culture_fit_feedback
67,female,Latine,0.685,0.655,0.409,0.504,0.308,bachelor,13,0.674,10,culture_fit_feedback
23,female,White,0.331,0.72,0.625,0.698,0.708,bachelor,11,0.671,10,culture_fit_feedback
92,male,Latine,0.491,0.659,0.471,0.496,0.416,high_school,8,0.67,10,culture_fit_feedback
59,female,Latine,0.325,0.777,0.497,0.488,0.439,master,10,0.668,10,culture_fit_feedback
19,male,White,0.658,0.766,0.372,0.471,0.558,associate,2,0.665,10,culture_fit_feedback
72,male,Latine,0.655,0.722,0.395,0.392,0.326,associate,5,0.664,10,culture_fit_feedback
29,male,Latine,0.597,0.603,0.591,0.293,0.369,bachelor,3,0.662,10,culture_fit_feedback
86,male,Latine,0.649,0.523,0.738,0.341,0.499,high_school,0,0.661,10,culture_fit_feedback
8,female,Multiracial,0.611,0.581,0.511,0.421,0.378,associate,6,0.658,10,culture_fit_feedback
60,female,Asian,0.398,0.699,0.625,0.462,0.706,master,5,0.658,10,culture_fit_feedback
88,male,White,0.688,0.541,0.466,0.502,0.142,high_school,9,0.655,10,culture_fit_feedback
24,male,Black,0.672,0.51,0.874,0.445,0.796,bachelor,11,0.653,10,culture_fit_feedback
